date_time,date,time,transmitted,received,packet_loss,minimum,maximum,avg,stddev
2020-11-03 14:04:10,2020-11-03,14:04:10,60,60,0.0,16.174,38.040,458.281,65.393
2020-11-03 14:05:09,2020-11-03,14:05:09,60,60,0.0,15.989,33.850,338.719,47.831
2020-11-03 14:06:09,2020-11-03,14:06:09,60,60,0.0,15.818,28.035,157.169,26.074
2020-11-03 14:07:08,2020-11-03,14:07:08,60,60,0.0,15.942,28.725,205.095,34.026
2020-11-03 14:08:07,2020-11-03,14:08:07,60,60,0.0,15.945,29.376,280.586,36.775
2020-11-03 14:09:07,2020-11-03,14:09:07,60,60,0.0,15.961,27.150,146.109,25.018
2020-11-03 14:10:06,2020-11-03,14:10:06,60,60,0.0,16.023,27.003,167.601,27.001
2020-11-03 14:11:05,2020-11-03,14:11:05,60,60,0.0,15.939,28.460,228.194,34.324
2020-11-03 14:12:04,2020-11-03,14:12:04,60,60,0.0,16.284,27.150,157.989,25.988
2020-11-03 14:13:04,2020-11-03,14:13:04,60,60,0.0,15.702,30.926,231.884,35.417
2020-11-03 14:14:03,2020-11-03,14:14:03,60,60,0.0,15.921,26.162,194.483,25.433
2020-11-03 14:15:02,2020-11-03,14:15:02,60,60,0.0,16.163,28.840,192.256,30.555
2020-11-03 14:16:02,2020-11-03,14:16:02,60,60,0.0,15.912,28.395,237.385,33.300
2020-11-03 14:17:01,2020-11-03,14:17:01,60,60,0.0,15.935,29.346,290.246,40.522
2020-11-03 14:18:00,2020-11-03,14:18:00,60,60,0.0,15.727,31.347,203.597,37.076
2020-11-03 14:19:00,2020-11-03,14:19:00,60,60,0.0,16.258,34.592,224.077,38.572
2020-11-03 14:19:59,2020-11-03,14:19:59,60,60,0.0,15.980,33.658,221.905,41.897
2020-11-03 14:20:58,2020-11-03,14:20:58,60,60,0.0,16.169,36.344,371.329,51.442
2020-11-03 14:21:58,2020-11-03,14:21:58,60,60,0.0,16.933,29.930,236.983,34.743
2020-11-03 14:22:57,2020-11-03,14:22:57,60,60,0.0,16.532,24.210,227.433,26.806
2020-11-03 14:23:56,2020-11-03,14:23:56,60,60,0.0,16.133,31.356,231.979,41.268
2020-11-03 14:24:56,2020-11-03,14:24:56,60,60,0.0,16.257,33.117,307.261,51.540
2020-11-03 14:25:55,2020-11-03,14:25:55,60,60,0.0,16.232,25.275,151.465,20.414
2020-11-03 14:26:54,2020-11-03,14:26:54,60,60,0.0,16.601,24.900,152.861,18.602
2020-11-03 14:27:54,2020-11-03,14:27:54,60,60,0.0,16.554,31.239,264.486,43.388
2020-11-03 14:28:53,2020-11-03,14:28:53,60,60,0.0,16.299,32.951,288.094,45.319
2020-11-03 14:29:52,2020-11-03,14:29:52,60,60,0.0,16.872,26.249,148.816,22.463
2020-11-03 14:30:51,2020-11-03,14:30:51,60,60,0.0,16.337,30.011,199.663,31.559
2020-11-03 14:31:51,2020-11-03,14:31:51,60,60,0.0,15.749,30.085,219.094,39.436
2020-11-03 14:32:50,2020-11-03,14:32:50,60,60,0.0,15.791,27.342,158.827,28.478
2020-11-03 14:33:49,2020-11-03,14:33:49,60,60,0.0,16.223,28.392,158.532,23.180
2020-11-03 14:34:49,2020-11-03,14:34:49,60,60,0.0,16.612,28.912,203.819,32.602
2020-11-03 14:35:48,2020-11-03,14:35:48,60,60,0.0,16.230,26.705,155.589,20.585
2020-11-03 14:36:47,2020-11-03,14:36:47,60,60,0.0,16.345,30.327,202.907,30.795
2020-11-03 14:37:46,2020-11-03,14:37:46,60,60,0.0,16.156,34.109,295.879,49.334
2020-11-03 14:38:46,2020-11-03,14:38:46,60,60,0.0,15.817,25.205,113.685,15.274
2020-11-03 14:39:45,2020-11-03,14:39:45,60,59,1.7,16.061,30.175,207.337,31.967
2020-11-03 14:40:46,2020-11-03,14:40:46,60,60,0.0,16.218,32.212,250.126,41.941
2020-11-03 14:41:46,2020-11-03,14:41:46,60,60,0.0,16.045,29.270,145.784,24.759
2020-11-03 14:42:45,2020-11-03,14:42:45,60,60,0.0,16.699,26.244,148.055,20.072
2020-11-03 14:43:44,2020-11-03,14:43:44,60,60,0.0,16.202,27.745,295.472,37.189
2020-11-03 14:44:43,2020-11-03,14:44:43,60,60,0.0,16.081,29.151,233.366,32.638
2020-11-03 14:45:43,2020-11-03,14:45:43,60,60,0.0,15.881,29.399,278.342,34.451
2020-11-03 14:46:42,2020-11-03,14:46:42,60,60,0.0,15.996,31.855,260.669,38.715
2020-11-03 14:47:41,2020-11-03,14:47:41,60,60,0.0,16.305,29.612,221.716,37.079
2020-11-03 14:48:41,2020-11-03,14:48:41,60,60,0.0,15.825,26.121,145.277,21.664
2020-11-03 14:49:40,2020-11-03,14:49:40,60,60,0.0,15.815,41.379,308.153,61.623
2020-11-03 14:50:39,2020-11-03,14:50:39,60,60,0.0,16.112,27.977,163.169,28.228
2020-11-03 14:51:39,2020-11-03,14:51:39,60,60,0.0,16.584,26.258,186.164,27.567
2020-11-03 14:52:38,2020-11-03,14:52:38,60,60,0.0,17.064,31.008,272.439,36.922
2020-11-03 14:53:37,2020-11-03,14:53:37,60,60,0.0,15.894,26.583,159.939,25.749
2020-11-03 14:54:36,2020-11-03,14:54:36,60,60,0.0,16.224,131.844,1960.708,363.614
2020-11-03 14:55:36,2020-11-03,14:55:36,60,60,0.0,15.486,45.578,573.722,84.718
2020-11-03 14:56:35,2020-11-03,14:56:35,60,60,0.0,15.918,27.113,107.428,17.922
2020-11-03 14:57:34,2020-11-03,14:57:34,60,60,0.0,16.319,28.166,203.819,29.219
2020-11-03 14:58:34,2020-11-03,14:58:34,60,60,0.0,16.142,26.413,153.928,20.288
2020-11-03 14:59:33,2020-11-03,14:59:33,60,60,0.0,16.217,25.207,171.158,22.744
2020-11-03 15:00:33,2020-11-03,15:00:33,60,60,0.0,16.620,29.266,154.623,28.276
2020-11-03 15:01:33,2020-11-03,15:01:33,60,60,0.0,16.273,27.438,182.909,28.731
2020-11-03 15:02:32,2020-11-03,15:02:32,60,60,0.0,16.192,34.735,541.362,69.998
2020-11-03 15:03:31,2020-11-03,15:03:31,60,60,0.0,17.272,29.493,217.244,32.017
2020-11-03 15:04:31,2020-11-03,15:04:31,60,60,0.0,16.445,34.156,338.102,52.456
2020-11-03 15:05:30,2020-11-03,15:05:30,60,60,0.0,16.145,23.042,125.305,14.353
2020-11-03 15:06:29,2020-11-03,15:06:29,60,60,0.0,15.919,27.364,146.255,23.419
2020-11-03 15:07:29,2020-11-03,15:07:29,60,60,0.0,16.315,23.149,151.451,17.443
2020-11-03 15:08:28,2020-11-03,15:08:28,60,60,0.0,16.696,22.699,90.380,10.211
2020-11-03 15:09:28,2020-11-03,15:09:28,60,60,0.0,16.069,37.504,451.952,68.004
2020-11-03 15:10:27,2020-11-03,15:10:27,60,60,0.0,16.732,31.177,195.182,31.090
2020-11-03 15:11:27,2020-11-03,15:11:27,60,60,0.0,15.792,28.832,293.685,38.698
2020-11-03 15:12:26,2020-11-03,15:12:26,60,60,0.0,16.172,26.901,154.227,22.860
2020-11-03 15:13:25,2020-11-03,15:13:25,60,60,0.0,16.170,30.357,256.547,43.917
2020-11-03 15:14:24,2020-11-03,15:14:24,60,60,0.0,15.795,30.229,153.013,28.422
2020-11-03 15:15:24,2020-11-03,15:15:24,60,60,0.0,15.932,25.997,139.221,20.735
2020-11-03 15:16:23,2020-11-03,15:16:23,60,60,0.0,16.488,25.635,157.812,21.403
2020-11-03 15:17:22,2020-11-03,15:17:22,60,60,0.0,16.042,31.928,214.901,37.570
2020-11-03 15:18:22,2020-11-03,15:18:22,60,60,0.0,16.722,33.842,260.433,42.560
2020-11-03 15:19:21,2020-11-03,15:19:21,60,60,0.0,16.049,35.817,475.542,63.741
2020-11-03 15:20:20,2020-11-03,15:20:20,60,59,1.7,16.396,24.370,175.581,21.611
2020-11-03 15:21:21,2020-11-03,15:21:21,60,60,0.0,16.023,27.539,170.480,26.860
2020-11-03 15:22:21,2020-11-03,15:22:21,60,59,1.7,15.913,29.659,268.745,44.541
2020-11-03 15:23:22,2020-11-03,15:23:22,60,60,0.0,16.576,30.384,281.947,36.874
2020-11-03 15:24:21,2020-11-03,15:24:21,60,60,0.0,16.579,28.055,163.650,25.723
2020-11-03 15:25:21,2020-11-03,15:25:21,60,60,0.0,16.192,31.700,247.353,39.817
2020-11-03 15:26:20,2020-11-03,15:26:20,60,60,0.0,16.199,25.798,143.166,19.320
2020-11-03 15:27:19,2020-11-03,15:27:19,60,60,0.0,16.274,33.680,244.027,43.118
